INDUSTRY_SK,INDUSTRY,INDUSTRY_LABEL
1,1011,transformation et conservation de la viande de boucherie
2,1012,transformation et conservation de la viande de volaille
3,1013,preparation de produits a base de viande
4,1020,"transformation et conservation de poisson, crustaces et de mollusques"
5,1031,transformation et conservation de pommes de terre
6,1032,preparation de jus de fruits et legumes
7,1033,transformation et conservation de tomates
8,1034,"transformation et conservation autres legumes, sauf tomates"
9,1039,transformation et conservation de fruits
10,1041,fabrication huiles olives
11,1042,fabrication huiles et graisses brutes
12,1043,fabrication huiles et graisses raffinees
13,1044,fabrication de margarine et graisses comestibles similaires
14,1051,exploitation de laiteries et fabrication de fromage
15,1052,fabrication de glaces et sorbets
16,1061,meunerie
17,1062,fabrication de produits amylaces
18,1069,autres activites de travail des grains
19,1071,boulangerie et boulangerie-patisserie
20,1072,patisserie (exclusive)
21,1073,"fabrication de biscuits, biscottes et patisseries de conservation"
22,1074,fabrication de pates alimentaires et couscous
23,1081,fabrication de sucre
24,1082,"fabrication de cacao, chocolat et de produits de confiserie"
25,1083,transformation du the et du cafe
26,1084,fabrication de condiments et assaisonnements
27,1085,fabrication de plats prepares
28,1086,fabrication aliments homogeneises et dietetiques
29,1089,fabrication autres produits alimentaires n.c.a.
30,1091,fabrication aliments pour animaux de ferme
31,1092,fabrication aliments pour animaux de compagnie
32,1101,production de boissons alcooliques distillees
33,1102,production de vin (de raisin)
34,1103,fabrication de cidre et de vins de fruits
35,1104,production autres boissons fermentees non distillees
36,1105,fabrication de biere
37,1107,industrie des eaux minerales et gazeuses
38,1108,production de boissons rafraichissantes
39,111,culture de cereales (exception du riz)
40,113,"culture de legumes, de melons, de racines et de tubercules"
41,114,culture de la canne a sucre
42,115,culture du tabac
43,116,culture de plantes a fibres
44,117,culture de legumineuses et de graines oleagineuses
45,118,culture de fourrages
46,119,horticulture et autres cultures non permanentes
47,1200,fabrication de produits a base de tabac
48,121,culture de la vigne
49,122,culture de palmiers-dattiers
50,123,culture agrumes
51,124,culture de fruits a pepins et a noyau
52,125,culture autres fruits arbres ou arbustes et de fruits a coque
53,126,culture oliviers
54,127,culture de plantes a boissons
55,128,"culture plantes a epices, aromatiques, medicinales et pharmaceutiques"
56,129,autres cultures permanentes
57,130,pepinieres
